G N M I OF
1 40 40 6 3363.76
1 40 40 7 3223.75
1 40 40 8 4989.11
1 40 40 9 3748.49
1 40 40 10 2949.32
1 40 40 11 3681.24
1 40 40 12 3751.88
1 40 40 13 3179.7
1 40 40 14 3110.49
1 40 40 15 2967.2
1 40 40 16 3131.68
1 40 40 17 3003.28
1 40 40 18 3488.86
1 40 40 19 3916.58
1 40 40 20 3114.27
1 40 40 21 3499.53
1 40 40 22 4048.56
1 40 40 23 3425.29
1 40 40 24 3737.2
1 40 40 25 3621.64
1 40 40 26 3483.93
1 40 40 27 3116.42
1 40 40 28 4074.98
1 40 40 29 3036.03
1 40 40 30 4079.05
1 40 40 31 4188.36
1 40 40 32 2581.24
1 40 40 33 2852.9
1 40 40 34 3862.42
1 40 40 35 3646.97
1 40 40 36 3000.77
1 40 40 37 4095.08
1 40 40 38 4098.12
1 40 40 39 2722.71
1 40 40 40 4315.84
1 40 40 41 3243.39
1 40 40 42 3467.64
1 40 40 43 3612.45
1 40 40 44 3891.52
1 40 40 45 4351.2
1 40 40 46 3346.79
1 40 40 47 3632.55
1 40 40 48 3640.51
1 40 40 49 4162.24
1 40 56 0 5137.92
1 40 56 1 5434.63
1 40 56 2 5067.45
1 40 56 3 4387.47
1 40 56 4 5330.67
1 40 56 5 5181.38
1 40 56 6 3983.39
1 40 56 7 4583.48
1 40 56 8 4111.78
1 40 56 9 5341.9
1 40 56 10 4962.16
1 40 56 11 6235.11
1 40 56 12 4804.32
1 40 56 13 5872.13
1 40 56 14 4195.59
1 40 56 15 5865.72
1 40 56 16 5190.97
1 40 56 17 6476.45
1 40 56 18 4794.28
1 40 56 19 4472.39
1 40 56 20 5015.25
1 40 56 21 4596.04
1 40 56 22 5785.85
1 40 56 23 4363.76
1 40 56 24 5177.63
1 40 56 25 5557.08
1 40 56 26 4603.23
1 40 56 27 4699.02
1 40 56 28 4243.91
1 40 56 29 4786.93
1 40 56 30 5319.92
1 40 56 31 4774.16
1 40 56 32 5110.52
1 40 56 33 4925.2
1 40 56 34 3909.13
1 40 56 35 4659.86
1 40 56 36 4993.66
1 40 56 37 4576.51
1 40 56 38 3986.07
1 40 56 39 5645.46
1 40 56 40 4700.4
1 40 56 41 5274.95
1 40 56 42 4913.22
1 40 56 43 5992.48
1 40 56 44 4858.61
1 40 56 45 4726.76
1 40 56 46 4404.31
1 40 56 47 4111.55
1 40 56 48 5742.74
1 40 56 49 5024.42
1 80 112 0 21309.83
1 80 112 1 20784.9
1 80 112 2 20126.08
1 80 112 3 19056.96
1 80 112 4 22933.36
1 80 112 5 20493.69
1 80 112 6 24333.57
1 80 112 7 22935.77
1 80 112 8 21295.18
1 80 112 9 19675.95
1 80 112 10 22284.78
1 80 112 11 21864.42
1 80 112 12 20423
1 80 112 13 21038.13
1 80 112 14 23847.53
1 80 112 15 21683.79
1 80 112 16 21171.93
1 80 112 17 24565.96
1 80 112 18 23240.09
1 80 112 19 20047.02
1 80 112 20 23374.28
1 80 112 21 19506.51
1 80 112 22 23678.23
1 80 112 23 18819.33
1 80 112 24 18505.05
1 80 112 25 20879.82
1 80 112 26 20432.42
1 80 112 27 23013.46
1 80 112 28 21365.34
1 80 112 29 23107.58
1 80 112 30 20893.08
1 80 112 31 24311.58
1 80 112 32 18881.52
1 80 112 33 19232.34
1 80 112 34 20708.2
1 80 112 35 22991.2
1 80 112 36 21996.73
1 80 112 37 22568.25
1 80 112 38 21097.32
1 80 112 39 23066.05
1 80 112 40 23407.59
1 80 112 41 19672.72
1 80 112 42 20364.41
1 80 112 43 22700.5
1 80 112 44 25062.06
1 80 112 45 20641.96
1 80 112 46 19450.96
1 80 112 47 22977.92
1 80 112 48 18346.84
1 80 112 49 22318.09
1 80 48 0 8643.29
1 80 48 1 8010.41
1 80 48 2 7895.46
1 80 48 3 8685.74
1 80 48 4 6692.66
1 80 48 5 10493.31
1 80 48 6 9299.11
1 80 48 7 9444.71
1 80 48 8 9628.1
1 80 48 9 10265.76
1 80 48 10 7389.65
1 80 48 11 8285.62
1 80 48 12 8555.5
1 80 48 13 7440.32
1 80 48 14 6431.84
1 80 48 15 9443.94
1 80 48 16 9806.53
1 80 48 17 7554.26
1 80 48 18 8158.27
1 80 48 19 7222.04
1 80 48 20 8377.15
1 80 48 21 10564.6
1 80 48 22 8653.21
1 80 48 23 9669.27
1 80 48 24 8430.91
1 80 48 25 10244.69
1 80 48 26 8814.24
1 80 48 27 9907.83
1 80 48 28 9570.41
1 80 48 29 8374.06
1 80 48 30 8196.75
1 80 48 31 9832.2
1 80 48 32 9743.36
1 80 48 33 9539.05
1 80 48 34 7944.61
