G N M I OF
1 80 112 12 20730.97
1 80 112 13 21636.3
1 80 112 14 24460.62
1 80 112 15 22259.83
1 80 112 16 21533.55
1 80 112 17 25091.2
1 80 112 18 23779.04
1 80 112 19 20539.26
1 80 112 20 23790.2
1 80 112 21 19879.74
1 80 112 22 24259.27
1 80 112 23 19300.36
1 80 112 24 19040.38
1 80 112 25 21418.28
1 80 112 26 20780.34
1 80 112 27 23497.49
1 80 112 28 21807.12
1 80 112 29 23648.81
1 80 112 30 21257.22
1 80 112 31 24739.87
1 80 112 32 19171.6
1 80 112 33 19604.6
1 80 112 34 21103.89
1 80 112 35 23426.69
1 80 112 36 22683.77
1 80 112 37 22953.27
1 80 112 38 21576.02
1 80 112 39 23581.88
1 80 112 40 23988.05
1 80 112 41 19981.4
1 80 112 42 20720.99
1 80 112 43 23184.13
1 80 112 44 25417.85
1 80 112 45 21124.82
1 80 112 46 19816.53
1 80 112 47 23592.52
1 80 112 48 18720.15
1 80 112 49 22926.06
1 80 48 0 8688.94
1 80 48 1 8119.86
1 80 48 2 8070.29
1 80 48 3 8742.16
1 80 48 4 6791.51
1 80 48 5 10732.45
1 80 48 6 9487.3
1 80 48 7 9527.2
1 80 48 8 9699.39
1 80 48 9 10379.59
1 80 48 10 7610.41
1 80 48 11 8368.28
1 80 48 12 8702.03
1 80 48 13 7532.21
1 80 48 14 6604.15
1 80 48 15 9512.11
1 80 48 16 9889.34
1 80 48 17 7663.45
1 80 48 18 8279.42
1 80 48 19 7309.57
1 80 48 20 8440.64
1 80 48 21 10766.94
1 80 48 22 8867.88
1 80 48 23 9805.49
1 80 48 24 8591.98
1 80 48 25 10421.89
1 80 48 26 9017.90000000001
1 80 48 27 10012.02
1 80 48 28 9961.15
1 80 48 29 8553.89
1 80 48 30 8401.41
1 80 48 31 9965.34
1 80 48 32 9938.55
1 80 48 33 9671.05
1 80 48 34 8050.48
1 80 48 35 7010
1 80 48 36 10186.55
1 80 48 37 9681.97
1 80 48 38 8514.04
1 80 48 39 7561.75
1 80 48 40 7884.72
1 80 48 41 6974.18
1 80 48 42 8456.29
1 80 48 43 7966.58
1 80 48 44 8866.69
1 80 48 45 8677.53
1 80 48 46 8983.42
1 80 48 47 9217.45
1 80 48 48 9209.46
1 80 48 49 8561.44
1 80 80 0 19908.23
1 80 80 1 16748.75
1 80 80 2 15704.47
1 80 80 3 14078.44
1 80 80 4 17023.91
1 80 80 5 12966.87
1 80 80 6 16098.89
1 80 80 7 13278.58
1 80 80 8 15521.53
1 80 80 9 16212.37
1 80 80 10 16996.06
1 80 80 11 13081.37
1 80 80 12 16236.16
1 80 80 13 15473.76
1 80 80 14 16261.93
1 80 80 15 13798.43
1 80 80 16 16940.62
1 80 80 17 13794.33
1 80 80 18 15303.08
1 80 80 19 14894.02
1 80 80 20 15326.67
1 80 80 21 13377.3
1 80 80 22 15566.72
1 80 80 23 15670.85
1 80 80 24 15597.96
1 80 80 25 15722.9
1 80 80 26 15237.45
1 80 80 27 14528.35
1 80 80 28 12332.99
1 80 80 29 13909.77
1 80 80 30 14963.12
1 80 80 31 16932.78
1 80 80 32 14920.96
1 80 80 33 13256.5
1 80 80 34 16740.15
1 80 80 35 16587.67
1 80 80 36 14043.21
1 80 80 37 16426.23
1 80 80 38 16161.23
1 80 80 39 16895.4
1 80 80 40 16612.41
1 80 80 41 12000.4
1 80 80 42 15795.89
1 80 80 43 14877.83
1 80 80 44 16431.51
1 80 80 45 12854.02
1 80 80 46 13763.99
1 80 80 47 14125.14
1 80 80 48 16757.65
1 80 80 49 16797.59
2 100 100 0 249475.63
2 100 100 1 248454.07
2 100 100 2 218470.96
2 100 100 3 211605.91
2 100 100 4 217340.05
2 100 100 5 237066.21
2 100 100 6 223867.08
2 100 100 7 245840.95
2 100 100 8 242695.87
2 100 100 9 255004.37
2 100 100 10 248540.89
2 100 100 11 259581.99
2 100 100 12 239468.31
2 100 100 13 223646.23
2 100 100 14 280456.71
2 100 100 15 252462.49
2 100 100 16 223298.59
2 100 100 17 215119.09
2 100 100 18 223375.29
2 100 100 19 258608.37
2 100 100 20 271458.16
2 100 100 21 222623.89
2 100 100 22 216796.47
2 100 100 23 219782.45
2 100 100 24 201533.47
2 100 100 25 253310.11
2 100 100 26 254364.23
2 100 100 27 209994.66
2 100 100 28 270326.62
2 100 100 29 246185.28
2 100 100 30 235074.52
2 100 100 31 214631.96
2 100 100 32 242392.45
2 100 100 33 248406.43
2 100 100 34 220850.34
2 100 100 35 251774.22
2 100 100 36 214032.31
2 100 100 37 238052.24
2 100 100 38 230293.04
2 100 100 39 250635.58
2 100 100 40 215046.39
2 100 100 41 232780.23
2 100 100 42 281933.52
2 100 100 43 206736.11
2 100 100 44 224042.69
2 100 100 45 218435.81
2 100 100 46 208949.41
2 100 100 47 218192.38
2 100 100 48 274681.76
2 100 100 49 245401.31
2 100 140 0 358103.12
2 100 140 1 357346.66
2 100 140 2 327423.76
2 100 140 3 310054.61
2 100 140 4 352934.91
2 100 140 5 319736.49
2 100 140 6 350091.31
2 100 140 7 353122.97
2 100 140 8 346572.67
2 100 140 9 343559.35
2 100 140 10 350255.78
