G N M I OF
1 40 40 6 3363.76
1 40 40 7 3224.83
1 40 40 8 4989.11
1 40 40 9 3747.5
1 40 40 10 2947.72
1 40 40 11 3681.14
1 40 40 12 3752.12
1 40 40 13 3181
1 40 40 14 3110.49
1 40 40 15 2968.38
1 40 40 16 3133.52
1 40 40 17 3003.53
1 40 40 18 3488.86
1 40 40 19 3916.29
1 40 40 20 3112.59
1 40 40 21 3499.53
1 40 40 22 4050.96
1 40 40 23 3425.29
1 40 40 24 3739.5
1 40 40 25 3624.68
1 40 40 26 3496.37
1 40 40 27 3115.97
1 40 40 28 4074.98
1 40 40 29 3039.69
1 40 40 30 4077.56
1 40 40 31 4187.13
1 40 40 32 2581.87
1 40 40 33 2852.67
1 40 40 34 3861.46
1 40 40 35 3647.27
1 40 40 36 3001.59
1 40 40 37 4095.08
1 40 40 38 4103.35
1 40 40 39 2722.9
1 40 40 40 4313.8
1 40 40 41 3244.91
1 40 40 42 3468
1 40 40 43 3612.45
1 40 40 44 3892.42
1 40 40 45 4351.08
1 40 40 46 3346.69
1 40 40 47 3631.95
1 40 40 48 3636.07
1 40 40 49 4163.4
1 40 56 0 5140.81
1 40 56 1 5434.15
1 40 56 2 5067.45
1 40 56 3 4388.54
1 40 56 4 5334.55
1 40 56 5 5185
1 40 56 6 3981.31
1 40 56 7 4588.65
1 40 56 8 4112.58
1 40 56 9 5346.54
1 40 56 10 4960.81
1 40 56 11 6239.61
1 40 56 12 4802.14
1 40 56 13 5872.13
1 40 56 14 4195.59
1 40 56 15 5865.74
1 40 56 16 5195.71
1 40 56 17 6478.39
1 40 56 18 4794.88
1 40 56 19 4475.72
1 40 56 20 5015.32
1 40 56 21 4597.1
1 40 56 22 5786.51
1 40 56 23 4364.74
1 40 56 24 5177.7
1 40 56 25 5557.08
1 40 56 26 4606.99
1 40 56 27 4698.96
1 40 56 28 4243.1
1 40 56 29 4786.93
1 40 56 30 5319.92
1 40 56 31 4775.64
1 40 56 32 5110.12
1 40 56 33 4925.84
1 40 56 34 3909.53
1 40 56 35 4659.6
1 40 56 36 5001.43
1 40 56 37 4576.51
1 40 56 38 3986.07
1 40 56 39 5645.62
1 40 56 40 4702.05
1 40 56 41 5274.95
1 40 56 42 4913.22
1 40 56 43 5992.48
1 40 56 44 4858.61
1 40 56 45 4726.12
1 40 56 46 4404.16
1 40 56 47 4116.31
1 40 56 48 5747.38
1 40 56 49 5027.22
1 80 112 0 21309.83
1 80 112 1 20784.78
1 80 112 2 20129.02
1 80 112 3 19057.34
1 80 112 4 22933.36
1 80 112 5 20495.6
1 80 112 6 24334.19
1 80 112 7 22933.57
1 80 112 8 21295.18
1 80 112 9 19675.27
1 80 112 10 22283.57
1 80 112 11 21864.42
1 80 112 12 20425.2
1 80 112 13 21038.77
1 80 112 14 23847.99
1 80 112 15 21681.94
1 80 112 16 21173.2
1 80 112 17 24568.53
1 80 112 18 23239.96
1 80 112 19 20048.16
1 80 112 20 23375.53
1 80 112 21 19503.95
1 80 112 22 23678.26
1 80 112 23 18819.33
1 80 112 24 18504.93
1 80 112 25 20880.31
1 80 112 26 20433.92
1 80 112 27 23013.21
1 80 112 28 21365.34
1 80 112 29 23108.14
1 80 112 30 20887.19
1 80 112 31 24309.06
1 80 112 32 18879.44
1 80 112 33 19231.83
1 80 112 34 20712.34
1 80 112 35 22991.38
1 80 112 36 21996.9
1 80 112 37 22566.91
1 80 112 38 21097.06
1 80 112 39 23065.17
1 80 112 40 23407.59
1 80 112 41 19674.56
1 80 112 42 20363.96
1 80 112 43 22703.23
1 80 112 44 25062.06
1 80 112 45 20643.62
1 80 112 46 19450.8
1 80 112 47 22977.97
1 80 112 48 18348.63
1 80 112 49 22320.35
1 80 48 0 8643.29
1 80 48 1 8009.71
1 80 48 2 7893.95
1 80 48 3 8689.97
1 80 48 4 6692.66
1 80 48 5 10491.96
1 80 48 6 9302
1 80 48 7 9446.28
1 80 48 8 9628.1
1 80 48 9 10269.27
1 80 48 10 7386.41
1 80 48 11 8282.98
1 80 48 12 8555.5
1 80 48 13 7444.83
1 80 48 14 6445.4
1 80 48 15 9449.42
1 80 48 16 9806.53
1 80 48 17 7556.36
1 80 48 18 8158.4
1 80 48 19 7222.04
1 80 48 20 8374.87
1 80 48 21 10564.6
1 80 48 22 8653.21
1 80 48 23 9669.27
1 80 48 24 8433.88
1 80 48 25 10256.93
1 80 48 26 8818.2
1 80 48 27 9906.79
1 80 48 28 9575.85
1 80 48 29 8377.74
1 80 48 30 8196.75
1 80 48 31 9832.56
1 80 48 32 9743.46
1 80 48 33 9539.05
1 80 48 34 7946.41
1 80 48 35 6954.94
1 80 48 36 9950.4
1 80 48 37 9582.51
1 80 48 38 8417.72
1 80 48 39 7483.55
1 80 48 40 7818.17
1 80 48 41 6865.18
1 80 48 42 8308.58
1 80 48 43 7700.18
1 80 48 44 8746.91
1 80 48 45 8564.82
1 80 48 46 8952.02
1 80 48 47 8936.34
1 80 48 48 9027.51
1 80 48 49 8380.04
1 80 80 0 19638.36
1 80 80 1 16400.68
1 80 80 2 15556.19
1 80 80 3 13872.77
1 80 80 4 16728.67
1 80 80 5 12614.32
1 80 80 6 15808.69
1 80 80 7 13065.23
1 80 80 8 15295.66
1 80 80 9 15940.55
1 80 80 10 16698.86
1 80 80 11 12876.69
1 80 80 12 15790.11
1 80 80 13 15171.47
1 80 80 14 15763.65
1 80 80 15 13627.48
1 80 80 16 16627
1 80 80 17 13529.41
1 80 80 18 14979.81
1 80 80 19 14659.94
1 80 80 20 15076.81
1 80 80 21 13113.9
1 80 80 22 15285.66
1 80 80 23 15366.41
1 80 80 24 15326.11
1 80 80 25 15491.05
1 80 80 26 14898.89
1 80 80 27 14223.2
1 80 80 28 11971.39
1 80 80 29 13640.86
1 80 80 30 14713.31
1 80 80 31 16643.7
1 80 80 32 14730.01
1 80 80 33 12974.49
1 80 80 34 16323
1 80 80 35 16317.12
1 80 80 36 13686.26
1 80 80 37 16258.06
1 80 80 38 15883.18
1 80 80 39 16689.63
1 80 80 40 16354.5
1 80 80 41 11736.2
1 80 80 42 15572.33
1 80 80 43 14559.24
1 80 80 44 16111.8
1 80 80 45 12402.74
1 80 80 46 13524.46
1 80 80 47 13834.24
1 80 80 48 16259.24
1 80 80 49 16548.32
2 100 100 0 245061.51
2 100 100 1 245992.94
