G N M I OF
1 80 112 6 24832.48
1 80 112 7 23248.55
1 80 112 8 21643.64
1 80 112 9 20223.32
1 80 112 10 22591.87
1 80 112 11 22377.59
1 80 112 12 20563.88
1 80 112 13 21299.57
1 80 112 14 24200.63
1 80 112 15 21965.49
1 80 112 16 21390.63
1 80 112 17 24818.45
1 80 112 18 23491.43
1 80 112 19 20344.95
1 80 112 20 23630.7
1 80 112 21 19646.51
1 80 112 22 24033.44
1 80 112 23 19163.06
1 80 112 24 18885.84
1 80 112 25 21138.65
1 80 112 26 20549.58
1 80 112 27 23296.87
1 80 112 28 21528.82
1 80 112 29 23352.59
1 80 112 30 20945.12
1 80 112 31 24594.98
1 80 112 32 19079.84
1 80 112 33 19426.41
1 80 112 34 20951.09
1 80 112 35 23151.45
1 80 112 36 22436.05
1 80 112 37 22675.66
1 80 112 38 21434.71
1 80 112 39 23264.93
1 80 112 40 23778.6
1 80 112 41 19866.38
1 80 112 42 20634.42
1 80 112 43 22994.3
1 80 112 44 25170.05
1 80 112 45 20855.75
1 80 112 46 19588.34
1 80 112 47 23311.6
1 80 112 48 18521.06
1 80 112 49 22636.49
1 80 48 0 8651.5
1 80 48 1 8092.68
1 80 48 2 7970.01
1 80 48 3 8722.64
1 80 48 4 6730.02
1 80 48 5 10671.63
1 80 48 6 9417.05
1 80 48 7 9466.13
1 80 48 8 9623.52
1 80 48 9 10326.12
1 80 48 10 7555.28
1 80 48 11 8283.91
1 80 48 12 8661.33
1 80 48 13 7476.52
1 80 48 14 6489.99
1 80 48 15 9450.55
1 80 48 16 9821.29
1 80 48 17 7620.04
1 80 48 18 8256.59
1 80 48 19 7284.82
1 80 48 20 8426.39
1 80 48 21 10710.7
1 80 48 22 8796.9
1 80 48 23 9762.37
1 80 48 24 8552.93
1 80 48 25 10355.15
1 80 48 26 8953.16
1 80 48 27 9967.99
1 80 48 28 9861.51
1 80 48 29 8464.41
1 80 48 30 8341.87
1 80 48 31 9860.19
1 80 48 32 9848.46
1 80 48 33 9634.84
1 80 48 34 8008.77
1 80 48 35 6944.13
1 80 48 36 10074.84
1 80 48 37 9615.76
1 80 48 38 8477.22
1 80 48 39 7514.86
1 80 48 40 7845.59
1 80 48 41 6953.08
1 80 48 42 8376.13
1 80 48 43 7928.58
1 80 48 44 8796.14
1 80 48 45 8636.68
1 80 48 46 8934.68
1 80 48 47 9159.56
1 80 48 48 9063.29
1 80 48 49 8533.09
1 80 80 0 19664.34
1 80 80 1 16677.68
1 80 80 2 15658.31
1 80 80 3 13945.5
1 80 80 4 16919.69
1 80 80 5 12884.01
1 80 80 6 15945.23
1 80 80 7 13196.43
1 80 80 8 15354.8
1 80 80 9 16118.4
1 80 80 10 16940.37
1 80 80 11 12959.47
1 80 80 12 16115.51
1 80 80 13 15386.39
1 80 80 14 16061.12
1 80 80 15 13701.67
1 80 80 16 16795.21
1 80 80 17 13650.1
1 80 80 18 15078.04
1 80 80 19 14775.42
1 80 80 20 15196.89
1 80 80 21 13294.17
1 80 80 22 15467.24
1 80 80 23 15478.72
1 80 80 24 15542.11
1 80 80 25 15622.28
1 80 80 26 15047.86
1 80 80 27 14395.44
1 80 80 28 12264.31
1 80 80 29 13752.06
1 80 80 30 14824.52
1 80 80 31 16802.07
1 80 80 32 14879.98
1 80 80 33 13077.78
1 80 80 34 16478.17
1 80 80 35 16425.58
1 80 80 36 13940.25
1 80 80 37 16268.56
1 80 80 38 16034.52
1 80 80 39 16815.13
1 80 80 40 16496.63
1 80 80 41 11856.87
1 80 80 42 15608.46
1 80 80 43 14773.89
1 80 80 44 16263.62
1 80 80 45 12767.6
1 80 80 46 13694.45
1 80 80 47 13996.42
1 80 80 48 16664.7
1 80 80 49 16569.09
2 100 100 0 248135.77
2 100 100 1 247393.04
2 100 100 2 217173.2
2 100 100 3 210991.87
2 100 100 4 216208.11
2 100 100 5 233528.11
2 100 100 6 221800.39
2 100 100 7 244121.94
2 100 100 8 241598.17
2 100 100 9 253754.04
2 100 100 10 247001.57
2 100 100 11 257805.39
2 100 100 12 237255.43
2 100 100 13 221797.47
2 100 100 14 279255.82
2 100 100 15 251404.18
2 100 100 16 221856.28
2 100 100 17 214098.09
2 100 100 18 221839.24
2 100 100 19 256838.1
2 100 100 20 267157.97
2 100 100 21 219866.63
2 100 100 22 215288
2 100 100 23 218101.3
2 100 100 24 199881.47
2 100 100 25 251706.96
2 100 100 26 252348.04
2 100 100 27 208302.43
2 100 100 28 269219.14
2 100 100 29 244263.54
2 100 100 30 233921.4
2 100 100 31 212188.04
2 100 100 32 240537.58
2 100 100 33 247217.52
2 100 100 34 219019.91
2 100 100 35 248201.14
2 100 100 36 212496.7
2 100 100 37 236304.06
2 100 100 38 228972.75
2 100 100 39 248540.57
2 100 100 40 213327.55
2 100 100 41 231885.77
2 100 100 42 278881.22
2 100 100 43 204877.67
2 100 100 44 222697.41
2 100 100 45 217321.99
2 100 100 46 207447.16
2 100 100 47 216218.98
2 100 100 48 273214.21
2 100 100 49 243076.33
2 100 140 0 355945.48
2 100 140 1 353723.09
2 100 140 2 324176.77
2 100 140 3 305992.3
2 100 140 4 350697.29
2 100 140 5 316193.25
2 100 140 6 346611
2 100 140 7 350853.69
2 100 140 8 342395.81
2 100 140 9 340855.98
2 100 140 10 346793.51
2 100 140 11 316817.27
2 100 140 12 264442.37
2 100 140 13 367307.27
2 100 140 14 332503.26
2 100 140 15 324433.81
2 100 140 16 314325.29
2 100 140 17 344203.36
2 100 140 18 361654.36
2 100 140 19 353073.74
2 100 140 20 350863.44
2 100 140 21 351156.06
2 100 140 22 333814.69
2 100 140 23 294717.33
2 100 140 24 317753.49
2 100 140 25 328329.85
2 100 140 26 354752.6
2 100 140 27 303379.21
2 100 140 28 342284.56
2 100 140 29 322968.41
2 100 140 30 334450.48
2 100 140 31 348964.68
2 100 140 32 350445.08
2 100 140 33 379167.18
2 100 140 34 324690.03
2 100 140 35 335728.96
2 100 140 36 405266.07
2 100 140 37 314586.97
2 100 140 38 308348.47
2 100 140 39 273387.56
2 100 140 40 331700.28
2 100 140 41 324925.62
2 100 140 42 343850.29
2 100 140 43 341094.07
2 100 140 44 330556.06
2 100 140 45 370051.51
2 100 140 46 298765.57
2 100 140 47 312904.37
2 100 140 48 355877.48
2 100 140 49 325784.57
2 100 60 0 123988.43
2 100 60 1 138932.59
2 100 60 2 126857.22
2 100 60 3 178552.92
2 100 60 4 130881.41
2 100 60 5 136548.54
2 100 60 6 135880.01
2 100 60 7 157294.83
2 100 60 8 161519.41
2 100 60 9 127035.21
2 100 60 10 135684.31
2 100 60 11 148671.07
2 100 60 12 121124.06
2 100 60 13 142523.67
2 100 60 14 159060.93
2 100 60 15 137928.11
2 100 60 16 137350.26
2 100 60 17 147045.08
2 100 60 18 138515.12
2 100 60 19 150583.7
2 100 60 20 119682.89
2 100 60 21 111293.68
2 100 60 22 165673.54
2 100 60 23 125743.54
2 100 60 24 120605.11
2 100 60 25 135628.46
2 100 60 26 135039.14
2 100 60 27 156054.79
2 100 60 28 144628.33
2 100 60 29 160688.38
2 100 60 30 126506.2
2 100 60 31 127149
2 100 60 32 133077.69
2 100 60 33 113013.14
2 100 60 34 124378.54
2 100 60 35 143723.81
2 100 60 36 131236.44
2 100 60 37 129761.59
2 100 60 38 119936.65
2 100 60 39 171878.2
2 100 60 40 126786.81
2 100 60 41 141638.08
2 100 60 42 131399.52
2 100 60 43 140420.16
2 100 60 44 176770.43
2 100 60 45 129799.7
2 100 60 46 132366.98
2 100 60 47 129920.12
2 100 60 48 141407.23
2 100 60 49 129948.11
2 20 12 0 3357.91
2 20 12 1 3943.88
2 20 12 2 3912.5
2 20 12 3 7077.78
2 20 12 4 4837.26
2 20 12 5 3838.69
2 20 12 6 4178.19
2 20 12 7 4183.56
2 20 12 8 3644.28
2 20 12 9 7443.75
2 20 12 10 4939.96
2 20 12 11 5245.32
2 20 12 12 4452.02
2 20 12 13 5284.72
2 20 12 14 5943.98
2 20 12 15 4944.67
2 20 12 16 4902.19
2 20 12 17 5124.29
2 20 12 18 6216.63
2 20 12 19 3699.34
2 20 12 20 4265.47
2 20 12 21 5816.02
2 20 12 22 3905.19
2 20 12 23 4593.6
2 20 12 24 3640.7
2 20 12 25 2435.14
2 20 12 26 3541.63
2 20 12 27 4582.15
2 20 12 28 6563.49
2 20 12 29 4947.56
2 20 12 30 3460.78
2 20 12 31 4427.76
2 20 12 32 5322.23
2 20 12 33 2515.81
2 20 12 34 5284.92
2 20 12 35 3371.81
2 20 12 36 6070.95
2 20 12 37 3324.31
2 20 12 38 5101.12
2 20 12 39 4578.97
2 20 12 40 4594.73
2 20 12 41 5483.01
2 20 12 42 4476.6
2 20 12 43 5224.59
2 20 12 44 4498.48
2 20 12 45 4636.45
2 20 12 46 5597.37
2 20 12 47 5945.76
2 20 12 48 4412.07
2 20 12 49 2157.35
2 20 20 0 6318.95
2 20 20 1 10015.1
2 20 20 2 6643.66
2 20 20 3 9097.43
2 20 20 4 6375.92
2 20 20 5 5990.18
2 20 20 6 7019.55
2 20 20 7 12571.22
2 20 20 8 9771.16
2 20 20 9 6800.8
2 20 20 10 9384.2
2 20 20 11 5663.07
2 20 20 12 8568.3
2 20 20 13 7880
2 20 20 14 10045.08
2 20 20 15 8012.5
2 20 20 16 8701.01
2 20 20 17 7746.1
2 20 20 18 7857.09
2 20 20 19 8775.6
2 20 20 20 5610.79
2 20 20 21 7624.3
2 20 20 22 5401.18
2 20 20 23 9109.34
2 20 20 24 7323.72
2 20 20 25 5810.15
2 20 20 26 8474.63
2 20 20 27 7377.95
2 20 20 28 6125.57
2 20 20 29 10569.57
2 20 20 30 12656.03
2 20 20 31 7641.3
2 20 20 32 4646.02
2 20 20 33 7999.37
2 20 20 34 8155.49
2 20 20 35 8630.16
2 20 20 36 6713.33
2 20 20 37 7995.18
2 20 20 38 7584.49
2 20 20 39 6733.79
2 20 20 40 5085.74
2 20 20 41 7186.76
2 20 20 42 10323.98
2 20 20 43 7676.87
2 20 20 44 5577.87
2 20 20 45 7575.13
2 20 20 46 8749.99
2 20 20 47 9317.24
2 20 20 48 6858.76
2 20 20 49 8451.48
2 20 28 0 13148.63
2 20 28 1 11941.33
2 20 28 2 9666.3
2 20 28 3 13095.5
2 20 28 4 14474.07
2 20 28 5 10699.59
2 20 28 6 17942.11
2 20 28 7 16336.35
2 20 28 8 10247.21
2 20 28 9 10473.04
2 20 28 10 12325.13
2 20 28 11 13250.15
2 20 28 12 11190.83
2 20 28 13 13181.34
2 20 28 14 14234.4
2 20 28 15 12341.99
2 20 28 16 14098.11
2 20 28 17 10501.78
2 20 28 18 12661.56
2 20 28 19 13663.4
2 20 28 20 12911.5
2 20 28 21 13361.51
2 20 28 22 8939.93
2 20 28 23 9879.51
2 20 28 24 12175.7
2 20 28 25 7530.3
2 20 28 26 10895.52
