G N M I OF
1 80 48 23 9815.03
1 80 48 24 8536.06
1 80 48 25 10312.75
1 80 48 26 8907.2
1 80 48 27 9956.89
1 80 48 28 9772.6
1 80 48 29 8473.09
1 80 48 30 8295.93
1 80 48 31 9877.87
1 80 48 32 9925.65
1 80 48 33 9656.62
1 80 48 34 7984.69
1 80 48 35 7032.23
1 80 48 36 10208.61
1 80 48 37 9620.15
1 80 48 38 8478.64
1 80 48 39 7565.08
1 80 48 40 7858.86
1 80 48 41 7024.36
1 80 48 42 8483
1 80 48 43 7792.18
1 80 48 44 8864.74
1 80 48 45 8575.46
1 80 48 46 9034.98
1 80 48 47 9078.3
1 80 48 48 9094.58
1 80 48 49 8478.46
1 80 80 0 19765.05
1 80 80 1 16735.76
1 80 80 2 15818.25
1 80 80 3 14068.03
1 80 80 4 16793.56
1 80 80 5 12893.28
1 80 80 6 16113.35
1 80 80 7 13126.74
1 80 80 8 15460.78
1 80 80 9 16203.96
1 80 80 10 16911.83
1 80 80 11 13061.83
1 80 80 12 15993.16
1 80 80 13 15376.34
1 80 80 14 15814.06
1 80 80 15 13718.99
1 80 80 16 16815.58
1 80 80 17 13667.88
1 80 80 18 15187.75
1 80 80 19 14812.96
1 80 80 20 15386.88
1 80 80 21 13158.73
1 80 80 22 15357.91
1 80 80 23 15462.41
1 80 80 24 15255.62
1 80 80 25 15710.02
1 80 80 26 15095.41
1 80 80 27 14376.1
1 80 80 28 12163.86
1 80 80 29 13787.48
1 80 80 30 14884.3
1 80 80 31 16925.57
1 80 80 32 14786.69
1 80 80 33 13116.54
1 80 80 34 16364.87
1 80 80 35 16391.59
1 80 80 36 14032.52
1 80 80 37 16486.43
1 80 80 38 16117.76
1 80 80 39 16819.02
1 80 80 40 16436.63
1 80 80 41 11903.48
1 80 80 42 15689.65
1 80 80 43 14742.62
1 80 80 44 16163.79
1 80 80 45 12592.82
1 80 80 46 13675.48
1 80 80 47 14013.2
1 80 80 48 16595.79
1 80 80 49 16697.05
2 100 100 0 248233.4
2 100 100 1 250581.28
2 100 100 2 218241.17
2 100 100 3 212045.69
2 100 100 4 215468.5
2 100 100 5 235112.41
2 100 100 6 221627.85
2 100 100 7 243596.78
2 100 100 8 244564.69
2 100 100 9 253711.42
2 100 100 10 244875.61
2 100 100 11 258160.16
2 100 100 12 237913
2 100 100 13 220848.63
2 100 100 14 278106.62
2 100 100 15 252433.65
2 100 100 16 221092.32
2 100 100 17 213380.93
2 100 100 18 222216.91
2 100 100 19 256785.76
2 100 100 20 270282.77
2 100 100 21 219826.17
2 100 100 22 216088.82
2 100 100 23 217831.7
2 100 100 24 201014.08
2 100 100 25 251317.84
2 100 100 26 253733.22
2 100 100 27 211117.47
2 100 100 28 270853.94
2 100 100 29 245548.47
2 100 100 30 234852.82
2 100 100 31 213312.95
2 100 100 32 241240.84
2 100 100 33 246542.31
2 100 100 34 220019.27
2 100 100 35 248595.34
2 100 100 36 213375.23
2 100 100 37 236328.46
2 100 100 38 230669.54
2 100 100 39 247896.57
2 100 100 40 214625.96
2 100 100 41 234324.01
2 100 100 42 279072.81
2 100 100 43 204407.63
2 100 100 44 224803.32
2 100 100 45 217776.49
2 100 100 46 209679.75
2 100 100 47 218697.3
2 100 100 48 271522.3
2 100 100 49 244962.42
2 100 140 0 355461.88
2 100 140 1 355657.45
2 100 140 2 325728.19
2 100 140 3 307705.48
2 100 140 4 351964.4
2 100 140 5 317233.42
2 100 140 6 343188.1
2 100 140 7 352767.66
2 100 140 8 342822.21
2 100 140 9 340007.21
2 100 140 10 347938.2
2 100 140 11 316776.23
2 100 140 12 264209.82
2 100 140 13 366783.05
2 100 140 14 333440.36
2 100 140 15 321912.62
2 100 140 16 316580.85
2 100 140 17 342406.79
2 100 140 18 360969.6
2 100 140 19 352325.99
2 100 140 20 348858.66
2 100 140 21 351755.74
2 100 140 22 334198.85
2 100 140 23 296678.12
2 100 140 24 318787.23
2 100 140 25 328680.32
2 100 140 26 354847.62
2 100 140 27 303748.47
2 100 140 28 342077.91
2 100 140 29 321942.66
2 100 140 30 332888.29
2 100 140 31 348921.47
2 100 140 32 349684.36
2 100 140 33 379378.61
2 100 140 34 323645.58
2 100 140 35 335043.35
2 100 140 36 403768.84
2 100 140 37 314437.41
2 100 140 38 309362.67
2 100 140 39 274852.79
2 100 140 40 329343.98
2 100 140 41 324954.86
2 100 140 42 348954.36
2 100 140 43 341818.7
2 100 140 44 330101.91
2 100 140 45 369795.72
2 100 140 46 301411.65
2 100 140 47 310998.13
2 100 140 48 356405.05
2 100 140 49 327680.46
2 100 60 0 124310.41
2 100 60 1 139429.48
2 100 60 2 127404.66
2 100 60 3 181254.68
2 100 60 4 131140.33
2 100 60 5 136888.76
2 100 60 6 135745.9
2 100 60 7 158493.51
2 100 60 8 163476.7
2 100 60 9 127128.76
2 100 60 10 135392.6
2 100 60 11 148846.02
2 100 60 12 122355.27
2 100 60 13 142546.78
2 100 60 14 159463.4
2 100 60 15 138353.22
2 100 60 16 138296.4
2 100 60 17 146935.18
2 100 60 18 138954.33
2 100 60 19 151692.73
2 100 60 20 120020.44
2 100 60 21 111868.45
2 100 60 22 165953.85
2 100 60 23 125681.16
2 100 60 24 120919.08
2 100 60 25 136553.61
2 100 60 26 135134.02
2 100 60 27 155879.62
2 100 60 28 145612.76
2 100 60 29 161462.61
2 100 60 30 127970.14
2 100 60 31 128257.1
2 100 60 32 132243.91
2 100 60 33 114047.89
2 100 60 34 123538.29
2 100 60 35 144228.15
2 100 60 36 132190.64
2 100 60 37 129634.34
2 100 60 38 119949.4
2 100 60 39 171769.91
2 100 60 40 126725.42
2 100 60 41 140235.84
2 100 60 42 132349.2
2 100 60 43 142250.94
2 100 60 44 179095.76
